cond,epoch_bin,loss
distill_sft,0.1,0.8478086090087891
distill_sft,0.2,0.6430165338516235
distill_sft,0.3,0.617459888458252
distill_sft,0.4,0.6124576616287232
distill_sft,0.5,0.5994990563392639
distill_sft,0.6,0.5910720086097717
distill_sft,0.7,0.5874546980857849
distill_sft,0.8,0.5827511167526245
distill_sft,0.9,0.5799986124038696
distill_sft,1.0,0.5493155813217163
distill_sft,1.1,0.5208234977722168
distill_sft,1.2,0.514816918373108
distill_sft,1.3,0.5095237994194031
distill_sft,1.4,0.5072145366668701
distill_sft,1.5,0.5040469527244568
distill_sft,1.6,0.5021382355690003
distill_sft,1.7,0.4965673208236694
distill_sft,1.8,0.4966533732414245
distill_sft,1.9,0.499286277294159
distill_sft,2.0,0.4970987796783447
distill_sft_a0.1,0.1,8.389025402069091
distill_sft_a0.1,0.2,3.971296653747559
distill_sft_a0.1,0.3,3.769461650848389
distill_sft_a0.1,0.4,3.7262193107604977
distill_sft_a0.1,0.5,3.6734093284606937
distill_sft_a0.1,0.6,3.6016108894348142
distill_sft_a0.1,0.7,3.608323211669922
distill_sft_a0.1,0.8,3.595595741271973
distill_sft_a0.1,0.9,3.543320579528809
distill_sft_a0.1,1.0,3.324874572753906
distill_sft_a0.1,1.1,3.1796267127990725
distill_sft_a0.1,1.2,3.166568717956543
distill_sft_a0.1,1.3,3.091812381744385
distill_sft_a0.1,1.4,3.049790115356445
distill_sft_a0.1,1.5,3.039672527313233
distill_sft_a0.1,1.6,3.0616402530670164
distill_sft_a0.1,1.7,3.0602645683288574
distill_sft_a0.1,1.8,3.023874015808105
distill_sft_a0.1,1.9,3.036419849395752
distill_sft_a0.1,2.0,3.0398064613342286
distill_sft_a0.3,0.1,8.261559257507324
distill_sft_a0.3,0.2,4.698976078033447
distill_sft_a0.3,0.3,4.482431087493897
distill_sft_a0.3,0.4,4.440708694458008
distill_sft_a0.3,0.5,4.358117218017578
distill_sft_a0.3,0.6,4.289554576873779
distill_sft_a0.3,0.7,4.291115989685059
distill_sft_a0.3,0.8,4.26795581817627
distill_sft_a0.3,0.9,4.2144946861267085
distill_sft_a0.3,1.0,3.958345775604248
distill_sft_a0.3,1.1,3.816138763427734
distill_sft_a0.3,1.2,3.788042316436768
distill_sft_a0.3,1.3,3.708551616668701
distill_sft_a0.3,1.4,3.6706084251403808
distill_sft_a0.3,1.5,3.650987319946289
distill_sft_a0.3,1.6,3.67404748916626
distill_sft_a0.3,1.7,3.65658561706543
distill_sft_a0.3,1.8,3.6264889335632327
distill_sft_a0.3,1.9,3.63385196685791
distill_sft_a0.3,2.0,3.639647026062012
pure_sft,0.1,3.174643938541412
pure_sft,0.2,0.1627935594320297
pure_sft,0.3,0.1608275514841079
pure_sft,0.4,0.1573833829164504
pure_sft,0.5,0.1562979334592819
pure_sft,0.6,0.1500281590223312
pure_sft,0.7,0.149870268702507
pure_sft,0.8,0.1491348493099212
pure_sft,0.9,0.1508543896675109
pure_sft,1.0,0.1176515808701514
pure_sft,1.1,0.0674283468723296
pure_sft,1.2,0.064112974256277
pure_sft,1.3,0.0669310468435287
pure_sft,1.4,0.0627892023324966
pure_sft,1.5,0.0595207619667052
pure_sft,1.6,0.0572826068103313
pure_sft,1.7,0.0580877281725406
pure_sft,1.8,0.0552999481558799
pure_sft,1.9,0.0569755965471267
pure_sft,2.0,0.0579334580898284
step_by_step,0.0,1.3139374923706053
step_by_step,0.1,0.7436239576339722
step_by_step,0.2,0.6234646050135294
step_by_step,0.3,0.6123361937204997
step_by_step,0.4,0.6032515978813171
step_by_step,0.5,0.5945719162623088
step_by_step,0.6,0.597871687412262
step_by_step,0.7,0.5957034428914388
step_by_step,0.8,0.5907103252410889
step_by_step,0.9,0.5889679598808288
step_by_step,1.0,0.5559553305308024
step_by_step,1.1,0.5035121218363444
step_by_step,1.2,0.49459321975708
step_by_step,1.3,0.4925239674250284
step_by_step,1.4,0.4898007893562316
step_by_step,1.5,0.4928173923492431
step_by_step,1.6,0.4832647212346395
step_by_step,1.7,0.4835900223255157
step_by_step,1.8,0.4845602957407633
step_by_step,1.9,0.4853390848636627
